"PC1","PC2","PC3","PC4","PC5","PC6","physical","mental","temporal","performance","effort","frustration"
2.39789754727542,-0.215497555740904,-0.942461023288674,0.739250023959954,-1.54639822034246,0.285274411013252,2,7,5,4,6,3
-1.23493556174555,0.287359584225034,0.0213909100703186,0.179257391655557,0.15726481636366,-0.00428131970001369,2,3,2,2,3,2
1.06001008393285,1.50628404258832,-1.80677919739816,-0.659925653403113,-0.0781959450626487,0.434425024011656,4,7,3,1,5,2
3.7182975054865,-0.111072074404861,0.823570670237764,-0.59544611729477,-0.777894553777123,-0.212980223736919,5,6,5,6,6,4
-2.91491385382593,0.288864968434514,-0.187119166500147,0.256546563842181,0.250045349853292,0.00107705840855349,1,2,1,1,2,1
-1.08520242253965,-0.601609423584184,0.983181177324132,-0.299526096848494,-0.255081187964631,0.437309517697884,2,3,2,4,2,2
-1.59080061717961,-0.000293882458029887,-0.71385244121084,-0.635577686272083,0.0687395029110532,0.172549871701899,2,4,1,2,3,1
-0.260720916697747,-0.778991707343563,-0.0669005482815242,-0.517743889561001,-0.440302868471789,0.71249109820807,2,5,2,4,3,2
0.183687246770568,-0.550967534109745,-0.464625613916251,1.11131101458373,-0.326383164803659,-0.32927657620004,1,4,3,3,5,3
-0.49702758370097,-0.773015284166595,0.373561211303209,-0.159212728033155,-0.225770964184189,-0.531335732525155,2,3,2,4,4,2
-0.336152011608408,0.904732776091057,0.578856698827167,0.380312175669543,0.348613013401533,0.116296718348897,3,3,3,2,3,3
2.0941303855853,0.753328680771877,0.481428760318909,-0.783436598413521,-0.283507294284503,-0.268598825131571,5,5,4,4,5,3
-2.69300357451331,-0.198471000615697,0.14137097562153,0.0522331617939901,0.0511999036342566,-0.0202888354482573,1,2,1,2,2,1
2.98038952744192,0.949302793986768,0.471400369004873,-0.256975997606058,-0.394858773229274,0.314074189088222,5,6,5,4,5,4
0.813303912837638,1.48398382398055,0.307036021610329,0.168813815188845,-0.00329439732191855,-0.038953641757253,4,4,4,2,4,3
-1.24946023064792,0.295077116982587,-0.43525968460577,-0.0891085142790388,-0.286052395198974,-0.659861820665926,2,3,2,2,4,1
-1.25130152967309,0.748621916433285,0.521059201854067,-0.360492348105678,0.345370984257394,0.397698432051476,3,3,2,2,2,2
1.26480395311181,0.0553051910672344,-0.0442199093486446,0.618945226330196,-1.81914886328816,-0.161165045351327,2,5,5,4,5,2
-0.525789678697254,-1.22222910924027,1.53133781939857,0.0490270144133392,0.1186391973581,-0.276873228226906,2,2,2,5,3,3
