target,grouping_type,grouping_desc,class,count,percent
performance,2-class,"(1,2,3,4,5) vs (6,7)",Low,1769,94.25
performance,2-class,"(1,2,3,4,5) vs (6,7)",High,108,5.75
performance,2-class,"(1,2,3,4,5,6) vs (7)",Low,1860,99.09
performance,2-class,"(1,2,3,4,5,6) vs (7)",High,17,0.91
effort,7-class,"1,2,3,4,5,6,7",1,105,5.59
effort,7-class,"1,2,3,4,5,6,7",2,285,15.18
effort,7-class,"1,2,3,4,5,6,7",3,372,19.82
effort,7-class,"1,2,3,4,5,6,7",4,453,24.13
effort,7-class,"1,2,3,4,5,6,7",5,367,19.55
effort,7-class,"1,2,3,4,5,6,7",6,211,11.24
effort,7-class,"1,2,3,4,5,6,7",7,84,4.48
effort,3-class,"(1)/(2)/(3,4,5,6,7)",Low,105,5.59
effort,3-class,"(1)/(2)/(3,4,5,6,7)",Medium,285,15.18
effort,3-class,"(1)/(2)/(3,4,5,6,7)",High,1487,79.22
effort,3-class,"(1)/(2,3)/(4,5,6,7)",Low,105,5.59
effort,3-class,"(1)/(2,3)/(4,5,6,7)",Medium,657,35
effort,3-class,"(1)/(2,3)/(4,5,6,7)",High,1115,59.4
effort,3-class,"(1)/(2,3,4)/(5,6,7)",Low,105,5.59
effort,3-class,"(1)/(2,3,4)/(5,6,7)",Medium,1110,59.14
effort,3-class,"(1)/(2,3,4)/(5,6,7)",High,662,35.27
effort,3-class,"(1)/(2,3,4,5)/(6,7)",Low,105,5.59
effort,3-class,"(1)/(2,3,4,5)/(6,7)",Medium,1477,78.69
effort,3-class,"(1)/(2,3,4,5)/(6,7)",High,295,15.72
effort,3-class,"(1)/(2,3,4,5,6)/(7)",Low,105,5.59
effort,3-class,"(1)/(2,3,4,5,6)/(7)",Medium,1688,89.93
effort,3-class,"(1)/(2,3,4,5,6)/(7)",High,84,4.48
effort,3-class,"(1,2)/(3)/(4,5,6,7)",Low,390,20.78
effort,3-class,"(1,2)/(3)/(4,5,6,7)",Medium,372,19.82
effort,3-class,"(1,2)/(3)/(4,5,6,7)",High,1115,59.4
effort,3-class,"(1,2)/(3,4)/(5,6,7)",Low,390,20.78
effort,3-class,"(1,2)/(3,4)/(5,6,7)",Medium,825,43.95
effort,3-class,"(1,2)/(3,4)/(5,6,7)",High,662,35.27
effort,3-class,"(1,2)/(3,4,5)/(6,7)",Low,390,20.78
effort,3-class,"(1,2)/(3,4,5)/(6,7)",Medium,1192,63.51
effort,3-class,"(1,2)/(3,4,5)/(6,7)",High,295,15.72
effort,3-class,"(1,2)/(3,4,5,6)/(7)",Low,390,20.78
effort,3-class,"(1,2)/(3,4,5,6)/(7)",Medium,1403,74.75
effort,3-class,"(1,2)/(3,4,5,6)/(7)",High,84,4.48
effort,3-class,"(1,2,3)/(4)/(5,6,7)",Low,762,40.6
effort,3-class,"(1,2,3)/(4)/(5,6,7)",Medium,453,24.13
effort,3-class,"(1,2,3)/(4)/(5,6,7)",High,662,35.27
effort,3-class,"(1,2,3)/(4,5)/(6,7)",Low,762,40.6
effort,3-class,"(1,2,3)/(4,5)/(6,7)",Medium,820,43.69
effort,3-class,"(1,2,3)/(4,5)/(6,7)",High,295,15.72
effort,3-class,"(1,2,3)/(4,5,6)/(7)",Low,762,40.6
effort,3-class,"(1,2,3)/(4,5,6)/(7)",Medium,1031,54.93
effort,3-class,"(1,2,3)/(4,5,6)/(7)",High,84,4.48
effort,3-class,"(1,2,3,4)/(5)/(6,7)",Low,1215,64.73
effort,3-class,"(1,2,3,4)/(5)/(6,7)",Medium,367,19.55
effort,3-class,"(1,2,3,4)/(5)/(6,7)",High,295,15.72
effort,3-class,"(1,2,3,4)/(5,6)/(7)",Low,1215,64.73
effort,3-class,"(1,2,3,4)/(5,6)/(7)",Medium,578,30.79
effort,3-class,"(1,2,3,4)/(5,6)/(7)",High,84,4.48
effort,3-class,"(1,2,3,4,5)/(6)/(7)",Low,1582,84.28
effort,3-class,"(1,2,3,4,5)/(6)/(7)",Medium,211,11.24
effort,3-class,"(1,2,3,4,5)/(6)/(7)",High,84,4.48
effort,2-class,"(1) vs (2,3,4,5,6,7)",Low,105,5.59
effort,2-class,"(1) vs (2,3,4,5,6,7)",High,1772,94.41
effort,2-class,"(1,2) vs (3,4,5,6,7)",Low,390,20.78
effort,2-class,"(1,2) vs (3,4,5,6,7)",High,1487,79.22
effort,2-class,"(1,2,3) vs (4,5,6,7)",Low,762,40.6
effort,2-class,"(1,2,3) vs (4,5,6,7)",High,1115,59.4
effort,2-class,"(1,2,3,4) vs (5,6,7)",Low,1215,64.73
effort,2-class,"(1,2,3,4) vs (5,6,7)",High,662,35.27
effort,2-class,"(1,2,3,4,5) vs (6,7)",Low,1582,84.28
effort,2-class,"(1,2,3,4,5) vs (6,7)",High,295,15.72
effort,2-class,"(1,2,3,4,5,6) vs (7)",Low,1793,95.52
effort,2-class,"(1,2,3,4,5,6) vs (7)",High,84,4.48
frustration,7-class,"1,2,3,4,5,6,7",1,505,26.9
frustration,7-class,"1,2,3,4,5,6,7",2,569,30.31
frustration,7-class,"1,2,3,4,5,6,7",3,359,19.13
frustration,7-class,"1,2,3,4,5,6,7",4,221,11.77
frustration,7-class,"1,2,3,4,5,6,7",5,149,7.94
frustration,7-class,"1,2,3,4,5,6,7",6,48,2.56
frustration,7-class,"1,2,3,4,5,6,7",7,26,1.39
frustration,3-class,"(1)/(2)/(3,4,5,6,7)",Low,505,26.9
frustration,3-class,"(1)/(2)/(3,4,5,6,7)",Medium,569,30.31
frustration,3-class,"(1)/(2)/(3,4,5,6,7)",High,803,42.78
frustration,3-class,"(1)/(2,3)/(4,5,6,7)",Low,505,26.9
frustration,3-class,"(1)/(2,3)/(4,5,6,7)",Medium,928,49.44
frustration,3-class,"(1)/(2,3)/(4,5,6,7)",High,444,23.65
frustration,3-class,"(1)/(2,3,4)/(5,6,7)",Low,505,26.9
frustration,3-class,"(1)/(2,3,4)/(5,6,7)",Medium,1149,61.21
frustration,3-class,"(1)/(2,3,4)/(5,6,7)",High,223,11.88
frustration,3-class,"(1)/(2,3,4,5)/(6,7)",Low,505,26.9
frustration,3-class,"(1)/(2,3,4,5)/(6,7)",Medium,1298,69.15
frustration,3-class,"(1)/(2,3,4,5)/(6,7)",High,74,3.94
frustration,3-class,"(1)/(2,3,4,5,6)/(7)",Low,505,26.9
frustration,3-class,"(1)/(2,3,4,5,6)/(7)",Medium,1346,71.71
frustration,3-class,"(1)/(2,3,4,5,6)/(7)",High,26,1.39
frustration,3-class,"(1,2)/(3)/(4,5,6,7)",Low,1074,57.22
frustration,3-class,"(1,2)/(3)/(4,5,6,7)",Medium,359,19.13
frustration,3-class,"(1,2)/(3)/(4,5,6,7)",High,444,23.65
frustration,3-class,"(1,2)/(3,4)/(5,6,7)",Low,1074,57.22
frustration,3-class,"(1,2)/(3,4)/(5,6,7)",Medium,580,30.9
frustration,3-class,"(1,2)/(3,4)/(5,6,7)",High,223,11.88
frustration,3-class,"(1,2)/(3,4,5)/(6,7)",Low,1074,57.22
frustration,3-class,"(1,2)/(3,4,5)/(6,7)",Medium,729,38.84
frustration,3-class,"(1,2)/(3,4,5)/(6,7)",High,74,3.94
frustration,3-class,"(1,2)/(3,4,5,6)/(7)",Low,1074,57.22
frustration,3-class,"(1,2)/(3,4,5,6)/(7)",Medium,777,41.4
frustration,3-class,"(1,2)/(3,4,5,6)/(7)",High,26,1.39
frustration,3-class,"(1,2,3)/(4)/(5,6,7)",Low,1433,76.35
frustration,3-class,"(1,2,3)/(4)/(5,6,7)",Medium,221,11.77
frustration,3-class,"(1,2,3)/(4)/(5,6,7)",High,223,11.88
frustration,3-class,"(1,2,3)/(4,5)/(6,7)",Low,1433,76.35
frustration,3-class,"(1,2,3)/(4,5)/(6,7)",Medium,370,19.71
frustration,3-class,"(1,2,3)/(4,5)/(6,7)",High,74,3.94
frustration,3-class,"(1,2,3)/(4,5,6)/(7)",Low,1433,76.35
frustration,3-class,"(1,2,3)/(4,5,6)/(7)",Medium,418,22.27
frustration,3-class,"(1,2,3)/(4,5,6)/(7)",High,26,1.39
frustration,3-class,"(1,2,3,4)/(5)/(6,7)",Low,1654,88.12
frustration,3-class,"(1,2,3,4)/(5)/(6,7)",Medium,149,7.94
frustration,3-class,"(1,2,3,4)/(5)/(6,7)",High,74,3.94
frustration,3-class,"(1,2,3,4)/(5,6)/(7)",Low,1654,88.12
frustration,3-class,"(1,2,3,4)/(5,6)/(7)",Medium,197,10.5
frustration,3-class,"(1,2,3,4)/(5,6)/(7)",High,26,1.39
frustration,3-class,"(1,2,3,4,5)/(6)/(7)",Low,1803,96.06
frustration,3-class,"(1,2,3,4,5)/(6)/(7)",Medium,48,2.56
frustration,3-class,"(1,2,3,4,5)/(6)/(7)",High,26,1.39
frustration,2-class,"(1) vs (2,3,4,5,6,7)",Low,505,26.9
frustration,2-class,"(1) vs (2,3,4,5,6,7)",High,1372,73.1
frustration,2-class,"(1,2) vs (3,4,5,6,7)",Low,1074,57.22
frustration,2-class,"(1,2) vs (3,4,5,6,7)",High,803,42.78
